,date,unit_01,unit_02,unit_03,unit_04,unit_05,unit_06,unit_07,unit_08,unit_09,unit_10,min,median,max,mean/std
0,2022-01-01,,35.356841405309794,29.501119790340915,49.62061516807165,33.3700934778619,38.61015437136088,34.559279403457296,53.436848572846074,41.23873314135952,58.49477361043738,,,,nan/nan
1,2022-01-02,37.1124746430136,49.94437515695568,42.270097179074185,51.55728441735007,,37.07879309482618,22.265876785131802,45.77294063623806,75.73305501848469,53.659106257833464,,,,nan/nan
2,2022-01-03,,28.340224471077487,48.01844946516155,,39.209601429627384,46.69052010451052,25.88623872775166,31.38352742003915,78.60707394735363,,,,,nan/nan
3,2022-01-04,50.0,43.55556980883428,36.27883144886002,43.076332704618835,,35.76431332942362,59.110809484709485,,39.244188051293165,66.40750776017154,,,,nan/nan
4,2022-01-05,42.434209274063136,28.734674570096036,35.91958582400355,49.73933444197666,37.63915290467669,,15.093751909931283,50.66464786776109,48.53694058312517,65.71918828187874,,,,nan/nan
5,2022-01-06,47.773801266200486,,44.22439939363296,39.77876272473975,44.90208225629254,41.4434341985208,27.428814406127454,49.83334261328965,75.59363514851194,67.93957128175172,,,,nan/nan
6,2022-01-07,33.57304770152676,38.528182507227704,43.66825368966762,34.51133955713395,37.463271113715564,35.19254466736598,,31.627159993607737,55.850954578036934,50.32906125009521,,,,nan/nan
7,2022-01-08,42.69774130522344,39.74607988015634,,56.09265126286748,37.033145675378705,40.850063281469495,26.165506514135647,59.83535939047306,50.201415445657005,50.82138964644067,,,,nan/nan
8,2022-01-09,49.60992073254672,35.693417752514904,41.59272846981933,38.36763566673716,39.90338177157531,44.68330056372333,14.736515365019072,41.55821438104343,39.99900719549621,55.21906264270255,,,,nan/nan
9,2022-01-10,40.99515243416399,40.562041520135,47.15084664670778,34.645716701269656,32.612366704456655,40.584824493629405,35.39376133996369,31.505885878903136,70.29927295404697,62.61188932325517,,,,nan/nan
10,2022-01-11,42.10224633590901,43.17102504304475,37.11599978052849,38.66263953541134,46.342010952291304,,20.657534017563542,41.67916727068013,,69.08089280687236,,,,nan/nan
